objectid,filename,youtubeid,title,subject,date,creator,contributor,game_name,game_genre,game_info,description,language,type,format,extent,coverage,rights,source,relation
game001,,,,,,,,,,,,,,,,,,,
game002,,,,,,,,,,,,,,,,,,,
game003,,,,,,,,,,,,,,,,,,,
game004,,,,,,,,,,,,,,,,,,,
game005,,,,,,,,,,,,,,,,,,,
game006,,,,,,,,,,,,,,,,,,,
game007,,,,,,,,,,,,,,,,,,,
game008,,,,,,,,,,,,,,,,,,,
game009,,,,,,,,,,,,,,,,,,,
game010,,,,,,,,,,,,,,,,,,,
game011,,,,,,,,,,,,,,,,,,,
game012,,,,,,,,,,,,,,,,,,,
game013,,,,,,,,,,,,,,,,,,,
game014,,,,,,,,,,,,,,,,,,,
game015,,,,,,,,,,,,,,,,,,,
game016,,,,,,,,,,,,,,,,,,,
game017,,,,,,,,,,,,,,,,,,,
game018,,,,,,,,,,,,,,,,,,,
game019,,,,,,,,,,,,,,,,,,,
game020,,,,,,,,,,,,,,,,,,,
game021,,,,,,,,,,,,,,,,,,,
game022,,,,,,,,,,,,,,,,,,,
game023,,,,,,,,,,,,,,,,,,,
game024,,,,,,,,,,,,,,,,,,,
game025,,,,,,,,,,,,,,,,,,,
game026,,,,,,,,,,,,,,,,,,,
game027,,,,,,,,,,,,,,,,,,,
game028,,,,,,,,,,,,,,,,,,,
game029,,,,,,,,,,,,,,,,,,,
game030,,,,,,,,,,,,,,,,,,,
game031,,,,,,,,,,,,,,,,,,,
game032,,,,,,,,,,,,,,,,,,,
game033,,wZmWdsKcufw,배틀그라운드 2023 한중전 스트리머 클랜전,Battle;Commentary,2023-06-09,PUBG,"[Player] 피오, 태민, DG98, 블랙워크, 박프로, 박나닝, 에스카, 걸뽀 <br> [Commentator] 지수보이, 박상현, 김동준",Battlegrounds,Survival shooting;Battle Royale,"[Manufacturer] PUBG, Krafton <br> [Distributor] Krafton, Kakaogames <br> [Platform] Windows, PlayStation 4, X box One",2023년 한중 스트리머가 참여하는 배틀그라운드 클랜전 중계 영상 ,kor,Image;MovingImage,video/mpeg,3h 43m 36s,,"© 2023 KRAFTON, INC. PUBG IS A REGISTERED TRADEMARK OR SERVICE MARK OF KRAFTON, INC.",https://www.youtube.com/watch?v=wZmWdsKcufw,
game034,,WXYKC7PtsDc,심판 에피소드 8 시네마틱 - 발로란트,Animation;Cinematic,2024-01-08,Valorant,[Performer] YONAKA <br> [Sponsor] Lightfarm Studios,Valorant,FPS;Action,"[Manufacturer] Riot Games <br> [Distributor] Riot Games <br> [Platform] Windows, Android, iOS <br> [Character] Cypher, Iso, Omen, Sova, Viper",발로란트 에피소드 8 시네마틱 애니메이션,kor,Image;MovingImage,video/mpeg,6m 28s,,"© 2024 Riot Games, Inc. All Rights Reserved.",https://www.youtube.com/watch?v=WXYKC7PtsDc,https://www.youtube.com/watch?v=q2eLOupmraQ
game035,,dvZiD1C9Ifk,블리츠크랭크로 바론잡기 [T1 Streaming Highlight],Highlight;Horror,2021-11-18,T1,[Player] Keria <br> [Sponsor] SKT,Poppy Playtime,Horror;Adventure,"[Manufacturer] MOB Games <br> [Distributor] MOB Games <br> [Platform] Windows, iOS, Android, PlayStation 4, PlayStation 5, Nintendo Switch <br> [Character] Huggy Wuggy",T1의 Keria 선수가 스트리밍 방송 ‘블리츠크랭크로 바론잡기’ 중 호러게임 ‘Poppy Playtime’을 플레이하는 영상,kor;eng,Image;MovingImage,video/mpeg,6m 10s,,@ 2021 SK Telecom CS T1 Co. ALL RIGHTS RESERVERED,https://www.youtube.com/watch?v=dvZiD1C9Ifk,
game036,,2Z3xeg6QEYs,동물의숲 개고수의 희귀곤충 잡기 프로젝트,Challenge;Tip;Hunting,2023-11-18,AONI,[Player] AONI,Animal Crossing: New Horizons;모여봐요 동물의 숲,Communication;Console,[Manufacturer] Nintendo <br> [Distributor] Nintendo <br> [Platform] Nintendo Switch,"‘모여봐요 동물의 숲‘에서 볼 수 있는 희귀곤충을 소개하고, 잡는 방법을 설명하는 영상",kor,Image;MovingImage,video/mpeg,11m 17s,,@aonioni,https://www.youtube.com/watch?v=2Z3xeg6QEYs,
game037,,oC2fiub1ysk,영예의 전장 론도 | 배틀그라운드,Event;Promotion;Movie,2023-12-06,PUBG,"[Performer] 이정재, Daniel Wu <br> [Organizer] Sam Hargrave",Battlegrounds,Survival shooting;Battle Royale,"[Manufacturer] PUBG, Krafton <br> [Distributor] Krafton, Kakaogames <br> [Platform] Windows, PlayStation 4, X box One",배틀그라운드의 10번째 맵 ‘론도’ 출시 기념 홍보 영상,eng;kor,Image;MovingImage,video/mpeg,8m 5s,,"© 2023 KRAFTON, INC. PUBG IS A REGISTERED TRADEMARK OR SERVICE MARK OF KRAFTON, INC.",https://www.youtube.com/watch?v=oC2fiub1ysk,https://www.youtube.com/watch?v=QaxOpVYmfTc
game038,,0WK6b1H6y-k,오버워치 리그 2022 시즌 킥오프 클래시 토너먼트 결승전,Commentary;League,2022-06-06,OWEsports,"[Player] (Seoul Dynasty) Profit, Fits, Smurf, Creative, Vindaim / (Philadelphia Fusion) Carpe, Zest, Belosrea, Fixa, Aimgod <br> [Commentator] 김정민, 문창식, 장지수 <br> [Organizer] Blizzard Entertainment <br> [Sponsor] Coca Cola, Team Speak",Overwatch2,FPS;Team-Based Shooting,"[Manufacturer] Blizzard Entertainment <br> [Distributor] Blizzard Entertainment <br> [Platform] Windows, PlayStation 4, X box One <br> [Character] Winston, Soldier:76, Tracer, Ana, Lucio etc.",오버워치 리그 2022 시즌 킥오프 클래시 토너먼트 결승전(5주차 3일) : 필라델피아 퓨전 vs 서울 다이너스티 <br> Overwatch League 2022 Season Kickoff Clash Tournament Grand Final : Philadelphia Fusion vs Seoul Dynasty,kor,Image;MovingImage,video/mpeg,1h 32m 55s,,"©2022 Blizzard Entertainment, Inc.",https://www.youtube.com/watch?v=0WK6b1H6y-k,
game039,,DR_Y8GA6OqY,"오버워치 2 단편 애니메이션 | ""키리코""",Animation;Cinematic,2022-10-08,Blizzard Entertainment,"[Performer] 김하루 <br> [Organizer] 민경서, Qiu Fang",Overwatch2,FPS;Team-Based Shooting,"[Manufacturer] Blizzard Entertainment <br> [Distributor] Blizzard Entertainment <br> [Platform] Windows, PlayStation 4, X box One <br> [Character] Kiriko",오버워치 2 새 영웅 ‘키리코’의 스토리를 담은 애니메이션,kor,Image;MovingImage,video/mpeg,9m 46s,,"©2022 Blizzard Entertainment, Inc.",https://www.youtube.com/watch?v=DR_Y8GA6OqY,https://www.youtube.com/watch?v=f7uiBuGN1no
game040,,mM-itNzNJKs,2024 LoL 챔피언스 코리아 스프링 결승전 하이라이트,Highlight,2024-04-14,LCK; Riot Games,"[Player] (GEN) Lehends, Peyz, Chovy, Canyon, Kiin  / (T1) Zeus, Oner, Faker, Gumayusi, Keria <br> [Commentator] 강형우, 신동진, 임주완, 고수진 <br> [Organizer] LCK <br> [Sponsor] 우리은행",League Of Legends;LOL,MOBA,"[Manufacturer] Riot Games <br> [Distributor] Riot Games <br> [Platform] Windows, Mac <br> [Character] Aatrox, Draven, Maokai, Pantheon, Poppy  etc.",2024 LoL  챔피언스 코리아 스프링 결승전 GEN vs. T1 매치 하이라이트 영상,kor,Image;MovingImage,video/mpeg,1h 18m 26s,KSPO DOME(올림픽체조경기장),"© 2024 Riot Games, Inc. All Rights Reserved.",https://www.youtube.com/watch?v=mM-itNzNJKs,https://game.naver.com/esports/League_of_Legends/videos/league/lck/lck_2024_spring
